var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 0.98 0.97 0.95 0.94 1.00 0.87 0.79 0.83 0.82 0.72 0.85 0.92 0.75 0.72 0.69 0.75 0.67 0.71 0.65 0.61 0.55 0.64 0.63 0.88 
2 0.82 0.95 0.99 0.96 0.95 0.86 0.94 0.98 0.98 0.96 0.87 0.85 0.82 0.80 0.88 0.93 1.00 0.95 0.88 0.90 0.72 0.66 0.65 0.60 
3 0.83 0.91 0.79 0.85 0.86 0.93 0.94 0.99 0.98 0.97 0.85 0.79 0.70 0.86 0.69 0.67 0.64 0.43 0.44 0.47 0.53 0.47 0.58 0.69 
4 0.77 0.73 0.75 0.74 0.84 0.74 0.77 0.86 0.76 0.83 0.90 0.91 0.94 0.94 0.80 0.86 0.86 0.80 0.88 0.89 0.90 0.80 0.78 0.78 
5 0.85 0.85 0.93 0.96 0.94 1.00 1.00 1.00 1.00 0.98 0.91 0.67 0.62 0.56 0.57 0.47 0.53 0.56 0.64 0.68 0.79 0.77 0.74 0.76 
6 0.71 0.78 0.83 0.84 0.81 0.90 0.79 0.82 0.79 0.76 0.74 0.75 0.84 0.89 0.76 0.72 0.74 0.73 0.56 0.54 0.66 0.64 0.89 0.88 
7 0.86 0.83 0.80 0.88 0.87 0.88 0.62 0.58 0.68 0.76 0.78 0.76 0.74 0.52 0.59 0.56 0.61 0.69 0.73 0.70 0.71 0.78 0.78 0.91 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  291  291  253  189  163  272  312  234  191  145  108   89  489  442  378  395  394  362  303  252  201  145  100  178 
#2  220  179  132  117   99  307  256  217  161  108  158  122  150  247  211  151   92  165  155  106  174  333  286  227 
#3  167  111  103  172  122  125  235  214  154  107  153  137   94   82  148  144  184  291  274  218  181  151  208  214 
#4  182  187  201  176  137  193  169  129  174  176  142  114  117  110  127   88  116  178  156  171  149  246  576  553 
#5  470  424  277  207  216  196  140  127  144  114   83  109  106  107  149  139  264  401  366  299  266  187  176  285 
#6  284  224  170  133  102   99  220  191  131  138  117  108   96  110  211  189  168  192  726  670  606  545  485  413 
#7  338  305  246  194  144  106  356  292  229  176  129   98  101  380  391  331  257  318  273  381  511  315  455  388 
# Min value.: 0.429553264604811
# Max value.: 1.0
# Conf. Int.: 0.95
# Mean......: 0.79
# Median....: 0.80
# Stand. Dev: 0.14
