var 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.73 0.97 1.00 1.00 
2 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
3 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.58 0.38 0.52 0.76 0.65 1.00 1.00 
4 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
5 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.83 0.83 0.19 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
6 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.97 0.92 1.00 1.00 1.00 1.00 
7 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 

#Times:
#     0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
#1  115  223  176  116  104   86  224  160  120   97   85   68  199  249  147  139  122  198  146  138  154  115   80   88 
#2  113  136   96   85   71  157  110  162  127   84   88   97   75  100  182  123   74  109  122   83   95  107  209  205 
#3  146   93   70  142   98   77  103  177  118   80   89   96   76   68  102   92   86  158  159  126  138   89  122   89 
#4  110  109  111  103   94   85  134   88  108   96  103   88   79   76   90   73   80   89  104   89  113   78  148  381 
#5  286  263  196  143  108  150  113   79  103   77   70   85   84   83   78  112   77  124  204  182  203  139  106  116 
#6  197  144  119  103   78   74  102  151  100   71   93   78   74   87   99  118  111   78  454  415  355  297  248  179 
#7  119  162  148  158  121   69  191  194  151  101   95   71   74  101  234  186  122  144  129  185  158   95  257  192 
# Min value.: 0.1875
# Max value.: 1.0
# Conf. Int.: 0.98
# Mean......: 0.98
# Median....: 1.00
# Stand. Dev: 0.10
